NROEMPRESA;SEQCOMPRADOR;DTAVDA;DOCTOS;VLR_VENDA;LUCRO;VERBA;CATEGORIA
16;8;2026-05-03;228;5281,04;232,01;47,67;COMMODITIES
16;9;2026-05-03;361;5714,54;1157,56;0,00;FLV
16;10;2026-05-03;68;1467,03;482,48;0,00;BAZAR
16;16;2026-05-03;92;1314,18;273,90;10,00;LIMPEZA
16;18;2026-05-03;125;1913,89;491,69;1,00;PERFUMARIA
18;1;2026-05-01;436;7413,91;1912,75;55,50;PAS
18;3;2026-05-01;657;9902,91;1961,13;231,30;SECA DOCE
18;4;2026-05-01;609;8526,02;2656,87;57,33;SECA SALG
18;5;2026-05-01;677;13371,23;3680,97;228,96;PADARIA
18;6;2026-05-01;788;50227,31;4305,17;0,00;AÇOUGUE
18;7;2026-05-01;821;15588,14;3199,70;923,02;LIQUIDA
18;8;2026-05-01;571;14114,35;2251,78;1430,17;COMMODITIES
18;9;2026-05-01;917;16905,16;3403,68;0,00;FLV
18;10;2026-05-01;188;3335,10;1068,71;0,00;BAZAR
18;15;2026-05-01;1;5,00;3,68;0,00;OUTROS
18;16;2026-05-01;277;6302,86;1148,88;10,00;LIMPEZA
18;18;2026-05-01;326;7852,81;2137,35;16,00;PERFUMARIA
18;1;2026-05-02;342;5780,19;1470,84;43,60;PAS
18;3;2026-05-02;524;7388,09;1495,74;189,20;SECA DOCE
18;4;2026-05-02;497;7246,88;2198,75;35,54;SECA SALG
18;5;2026-05-02;565;10605,79;2961,18;107,70;PADARIA
18;6;2026-05-02;669;43281,98;5325,60;0,00;AÇOUGUE
18;7;2026-05-02;658;12282,68;2521,59;485,30;LIQUIDA
18;8;2026-05-02;478;12093,48;1199,41;569,17;COMMODITIES
18;9;2026-05-02;718;13379,90;2999,41;0,00;FLV
18;10;2026-05-02;139;2791,16;918,51;0,00;BAZAR
18;15;2026-05-02;1;5,00;3,68;0,00;OUTROS
18;16;2026-05-02;200;3941,69;871,85;10,00;LIMPEZA
18;18;2026-05-02;266;5652,86;1587,68;6,00;PERFUMARIA
18;1;2026-05-03;311;4826,81;1214,54;35,10;PAS
18;3;2026-05-03;539;7303,65;1583,08;147,30;SECA DOCE
18;4;2026-05-03;502;6864,40;2051,70;13,85;SECA SALG
18;5;2026-05-03;565;10171,22;2812,32;199,63;PADARIA
18;6;2026-05-03;623;32893,30;4563,42;0,00;AÇOUGUE
18;7;2026-05-03;666;10205,80;2002,27;364,00;LIQUIDA
18;8;2026-05-03;471;11038,96;668,22;98,17;COMMODITIES
18;9;2026-05-03;763;12038,12;2764,36;0,00;FLV
18;10;2026-05-03;132;2233,68;678,99;0,00;BAZAR
18;15;2026-05-03;4;37,00;27,20;0,00;OUTROS
18;16;2026-05-03;210;4124,90;906,63;20,00;LIMPEZA
18;18;2026-05-03;251;5097,85;1417,10;15,50;PERFUMARIA
20;1;2026-05-01;193;2864,90;719,58;11,10;PAS
20;3;2026-05-01;358;4468,65;897,14;204,20;SECA DOCE
20;4;2026-05-01;323;4201,48;1295,48;13,30;SECA SALG
20;5;2026-05-01;310;5627,00;1598,68;25,95;PADARIA
20;6;2026-05-01;466;25306,99;1420,87;0,00;AÇOUGUE
20;7;2026-05-01;468;8316,93;1514,05;384,90;LIQUIDA
20;8;2026-05-01;372;7287,65;1338,19;911,00;COMMODITIES
20;9;2026-05-01;630;9671,11;1454,39;0,00;FLV
20;10;2026-05-01;80;1112,70;372,97;2,00;BAZAR
20;15;2026-05-01;1;10,00;7,35;0,00;OUTROS
20;16;2026-05-01;170;2419,73;351,17;0,00;LIMPEZA
20;18;2026-05-01;197;3395,96;833,24;5,00;PERFUMARIA
20;1;2026-05-02;134;1718,58;465,82;10,60;PAS
20;3;2026-05-02;264;2855,54;617,70;113,30;SECA DOCE
20;4;2026-05-02;236;2776,53;846,67;14,15;SECA SALG
20;5;2026-05-02;227;3659,04;1052,37;36,80;PADARIA
20;6;2026-05-02;344;19265,56;2010,41;0,00;AÇOUGUE
20;7;2026-05-02;380;5901,76;844,58;53,90;LIQUIDA
20;8;2026-05-02;291;6856,33;432,85;139,17;COMMODITIES
